epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1045.99,0.47931,0.39988,0.85667,0.90268,0.67611,0.76788,0.63745,0.49848,0.50046,0.8447,8.10019e-05,8.10019e-05,8.10019e-05
40,1072.35,0.48597,0.4024,0.86478,0.88772,0.68807,0.77139,0.6327,0.50516,0.50192,0.84982,8.05019e-05,8.05019e-05,8.05019e-05
41,1098.8,0.4788,0.40039,0.85756,0.91175,0.66028,0.77124,0.63479,0.50709,0.50176,0.85453,8.0002e-05,8.0002e-05,8.0002e-05
42,1125.14,0.48368,0.39492,0.85939,0.90446,0.6841,0.77104,0.64018,0.49909,0.49878,0.84944,7.95021e-05,7.95021e-05,7.95021e-05
43,1151.74,0.47617,0.38759,0.86069,0.87855,0.69658,0.7693,0.63651,0.50304,0.49265,0.8548,7.90021e-05,7.90021e-05,7.90021e-05
44,1178.11,0.47258,0.38204,0.85753,0.90349,0.68216,0.77354,0.64565,0.49611,0.47998,0.84816,7.85022e-05,7.85022e-05,7.85022e-05
45,1204.72,0.47875,0.37883,0.85915,0.89421,0.69575,0.77226,0.63644,0.51802,0.48173,0.862,7.80022e-05,7.80022e-05,7.80022e-05
46,1231.38,0.46695,0.37574,0.85194,0.89421,0.69131,0.76909,0.62655,0.50937,0.47023,0.85282,7.75023e-05,7.75023e-05,7.75023e-05
47,1257.86,0.47456,0.38463,0.85986,0.92496,0.67779,0.77355,0.6362,0.51008,0.47299,0.85742,7.70023e-05,7.70023e-05,7.70023e-05
48,1284.33,0.47111,0.38026,0.8545,0.91641,0.69265,0.77547,0.63888,0.5167,0.47068,0.87111,7.65024e-05,7.65024e-05,7.65024e-05
49,1310.78,0.4628,0.36856,0.85604,0.89647,0.69864,0.77675,0.64782,0.49556,0.47898,0.85366,7.60024e-05,7.60024e-05,7.60024e-05
50,1337.64,0.46436,0.36991,0.85492,0.91916,0.67814,0.77211,0.63502,0.49898,0.4824,0.85395,7.55025e-05,7.55025e-05,7.55025e-05
51,1364,0.46782,0.37898,0.8558,0.89121,0.69896,0.77656,0.64263,0.49815,0.4806,0.85137,7.50025e-05,7.50025e-05,7.50025e-05
52,1390.38,0.47312,0.3732,0.85531,0.87872,0.70137,0.77596,0.63973,0.49287,0.4702,0.84994,7.45026e-05,7.45026e-05,7.45026e-05
53,1416.59,0.46532,0.36869,0.85638,0.87904,0.69775,0.77442,0.63422,0.5068,0.48668,0.85719,7.40026e-05,7.40026e-05,7.40026e-05
54,1442.81,0.46817,0.37981,0.86028,0.87771,0.70321,0.78308,0.64522,0.49418,0.47074,0.85231,7.35027e-05,7.35027e-05,7.35027e-05
55,1469.15,0.45477,0.3604,0.85317,0.91465,0.70039,0.77471,0.63883,0.49446,0.4747,0.85698,7.30027e-05,7.30027e-05,7.30027e-05
56,1495.73,0.45983,0.36037,0.85598,0.87552,0.70914,0.78653,0.65091,0.49584,0.47515,0.85311,7.25028e-05,7.25028e-05,7.25028e-05
57,1522.35,0.45078,0.35608,0.84937,0.88565,0.70316,0.77723,0.63959,0.50104,0.49235,0.8583,7.20028e-05,7.20028e-05,7.20028e-05
58,1548.86,0.45914,0.35791,0.85492,0.87062,0.70987,0.78036,0.65231,0.48786,0.49441,0.85057,7.15029e-05,7.15029e-05,7.15029e-05
59,1575.43,0.45279,0.35553,0.84603,0.91081,0.6939,0.77971,0.6502,0.49215,0.47923,0.84444,7.10029e-05,7.10029e-05,7.10029e-05
60,1602.3,0.45942,0.35934,0.84721,0.88759,0.71258,0.78168,0.65154,0.49413,0.48304,0.85429,7.0503e-05,7.0503e-05,7.0503e-05
61,1629.18,0.4523,0.35538,0.84668,0.90798,0.70345,0.78501,0.65023,0.51061,0.48369,0.86304,7.0003e-05,7.0003e-05,7.0003e-05
62,1655.87,0.45259,0.35719,0.85252,0.90574,0.69114,0.78886,0.64914,0.49218,0.47378,0.85315,6.95031e-05,6.95031e-05,6.95031e-05
63,1682.49,0.4522,0.35673,0.84985,0.91881,0.70006,0.78916,0.64743,0.50486,0.47892,0.84447,6.90031e-05,6.90031e-05,6.90031e-05
64,1708.91,0.4396,0.34492,0.83765,0.88215,0.71984,0.78449,0.65469,0.49808,0.47237,0.84453,6.85032e-05,6.85032e-05,6.85032e-05
65,1735.73,0.43694,0.34349,0.84112,0.90496,0.70152,0.78484,0.65035,0.48798,0.46467,0.84867,6.80032e-05,6.80032e-05,6.80032e-05
66,1762.36,0.45655,0.35207,0.85155,0.9022,0.71156,0.77964,0.65153,0.49245,0.4811,0.85117,6.75033e-05,6.75033e-05,6.75033e-05
67,1788.71,0.42755,0.33735,0.84103,0.89689,0.70202,0.77665,0.6489,0.48672,0.47392,0.84229,6.70033e-05,6.70033e-05,6.70033e-05
68,1815.18,0.4392,0.34172,0.84891,0.91135,0.69722,0.78136,0.65306,0.48565,0.46847,0.83668,6.65034e-05,6.65034e-05,6.65034e-05
69,1841.83,0.43281,0.34157,0.84243,0.88923,0.69746,0.7781,0.65651,0.47977,0.46724,0.84494,6.60034e-05,6.60034e-05,6.60034e-05
70,1868.55,0.44093,0.34545,0.84655,0.90453,0.71108,0.78426,0.65714,0.49119,0.46687,0.8484,6.55035e-05,6.55035e-05,6.55035e-05
71,1894.99,0.43201,0.34002,0.84422,0.9073,0.70431,0.7865,0.65565,0.49286,0.46022,0.84745,6.50035e-05,6.50035e-05,6.50035e-05
72,1921.65,0.4421,0.3427,0.84324,0.8837,0.71906,0.78349,0.65096,0.48632,0.45911,0.84661,6.45036e-05,6.45036e-05,6.45036e-05
73,1948.17,0.41828,0.32969,0.84026,0.93328,0.68811,0.78221,0.65013,0.48052,0.47255,0.84056,6.40036e-05,6.40036e-05,6.40036e-05
74,1974.66,0.42596,0.33123,0.8383,0.88235,0.69677,0.78008,0.65244,0.48359,0.45391,0.84349,6.35037e-05,6.35037e-05,6.35037e-05
75,2001.21,0.44469,0.3388,0.84383,0.91185,0.69548,0.77897,0.65392,0.47487,0.45557,0.84562,6.30037e-05,6.30037e-05,6.30037e-05
76,2027.75,0.42685,0.3318,0.84515,0.88414,0.70812,0.78287,0.65693,0.48417,0.46419,0.85053,6.25038e-05,6.25038e-05,6.25038e-05
77,2054.55,0.42359,0.33234,0.84355,0.91674,0.68897,0.78497,0.65443,0.48381,0.45195,0.84762,6.20038e-05,6.20038e-05,6.20038e-05
78,2081.35,0.41915,0.32409,0.83776,0.92751,0.68269,0.78171,0.65988,0.47127,0.46164,0.83684,6.15039e-05,6.15039e-05,6.15039e-05
79,2107.97,0.42139,0.32432,0.84071,0.93509,0.69692,0.78113,0.65405,0.47474,0.46388,0.83925,6.10039e-05,6.10039e-05,6.10039e-05
80,2134.28,0.42933,0.32717,0.84498,0.8937,0.71585,0.78488,0.65369,0.47538,0.47296,0.8436,6.05039e-05,6.05039e-05,6.05039e-05
81,2160.97,0.42215,0.32915,0.84452,0.92545,0.69694,0.78424,0.65162,0.47804,0.47558,0.84441,6.0004e-05,6.0004e-05,6.0004e-05
82,2187.41,0.4231,0.32847,0.83719,0.9114,0.70163,0.78611,0.65839,0.47296,0.45433,0.84041,5.95041e-05,5.95041e-05,5.95041e-05
83,2214.13,0.42606,0.32641,0.84394,0.88713,0.70394,0.78036,0.65108,0.47429,0.45302,0.84071,5.90041e-05,5.90041e-05,5.90041e-05
84,2240.97,0.42342,0.3207,0.83904,0.92635,0.69502,0.78729,0.65847,0.47328,0.45588,0.83975,5.85042e-05,5.85042e-05,5.85042e-05
85,2267.47,0.42826,0.3279,0.83852,0.92386,0.69545,0.78356,0.65941,0.47687,0.47077,0.84129,5.80042e-05,5.80042e-05,5.80042e-05
86,2294.09,0.41742,0.32613,0.83876,0.90696,0.70475,0.78272,0.65641,0.47255,0.45951,0.84291,5.75042e-05,5.75042e-05,5.75042e-05
87,2320.88,0.42925,0.32573,0.84092,0.88068,0.72248,0.78407,0.65837,0.47159,0.455,0.84011,5.70043e-05,5.70043e-05,5.70043e-05
88,2347.41,0.41286,0.31706,0.83952,0.9191,0.70761,0.78197,0.65519,0.47706,0.43864,0.84256,5.65043e-05,5.65043e-05,5.65043e-05
89,2373.74,0.41007,0.3202,0.83934,0.9222,0.70615,0.7843,0.65901,0.47498,0.46188,0.83813,5.60044e-05,5.60044e-05,5.60044e-05
90,2400.74,0.42454,0.32278,0.83822,0.92455,0.6967,0.78671,0.66018,0.47815,0.45029,0.84124,5.55044e-05,5.55044e-05,5.55044e-05
91,2427.29,0.42497,0.31894,0.8412,0.94675,0.68276,0.78403,0.65837,0.48201,0.45213,0.8393,5.50045e-05,5.50045e-05,5.50045e-05
92,2453.61,0.41169,0.31276,0.83328,0.9044,0.71109,0.79107,0.66404,0.48086,0.46579,0.84645,5.45045e-05,5.45045e-05,5.45045e-05
